label,risk_level
주식 발행자,M
주식매수선택권,M
주식매수선택권 부여방법,M
주식매수선택권 부여일,M
주식매수선택권 부여취소,M
주식매수선택권 승계,M
주식매수선택권 조정,M
주식매수선택권 행사기간,M
주식매수선택권 행사방법,M
주식매수선택권 효력,M
주식매수선택권의 수량,M
주식매수선택권의 행사가격,M
주차장,M
준거법,H
중도상환수수료,H
증여자의 기명날인,L
증여자의 우선매수권,M
증여자의 인적사항,L
지식재산권의 귀속,M
지식재산권자,M
지식재산권자의 기명날인,L
지식재산권자의 의무,M
지식재산권자의 인적사항,L
지연배상금,M
지적재산권,M
지체로 인한 보상,M
진술과 보장,M
차임,M
채권의 양도,M
채권자,M
채권자의 기명날인,L
채권자의 의무,M
채권자의 인적사항,L
채권최고액,M
채무부담,M
채무의 소멸,M
채무의 이행,M
채무이행,M
채무인수계약,M
채무자,M
채무자의 기명날인,L
채무자의 의무,M
채무자의 인적사항,L
채무총액,M
책임 귀속,M
첨부서류,M
청약철회,M
컨설팅 대금,M
통상업무시간,M
통지방법,M
통지의무,M
퇴직 절차,M
퇴직금,M
퇴직상여충당금의 적립,M
퇴직절차,M
특약사항,M
특허 식별 정보,M
표시 및 광고,L
품질보증,H
피고용인의 기명날인,L
피고용인의 인적사항,L
피담보채무,H
하자 보증,H
하자보수책임,H
할인료,M
해제권 제한,H
행정협조,M
환급,M
회계감사,M
회사의 기명날인,L
회사의 인적사항,L
회원정보관리의무,M
회원정보변경,M
휴가,M
휴게 시간,M
휴일,M
